RPID,IP,MAC,Class,Room,Asset,Serial,Building,FQDN,ARP Last
13806025,146.232.48.27,f4:8e:38:d9:75:5e,HOST,k2093,466827, ,ADMINISTRASIE BLOK A,narga-a30.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.28,f4:8e:38:d9:c8:95,HOST,k2093,466828, ,ADMINISTRASIE BLOK A,narga-a31.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.29,f4:8e:38:d9:c9:ff,HOST,k2093,466829, ,ADMINISTRASIE BLOK A,narga-a32.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.30,f4:8e:38:d9:75:bd,HOST,k2093,466830,,ADMINISTRASIE BLOK A,narga-a33.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.31,f4:8e:38:d9:c9:79,HOST,k2093,466831, ,ADMINISTRASIE BLOK A,narga-a34.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.32,f4:8e:38:d9:c8:84,HOST,k2093,466832, ,ADMINISTRASIE BLOK A,narga-a35.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.33,f4:8e:38:d9:c7:80,HOST,k2093,466833, ,ADMINISTRASIE BLOK A,narga-a36.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.34,f4:8e:38:d9:ca:17,HOST,k2093,466834, ,ADMINISTRASIE BLOK A,narga-a37.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
15346773,146.232.48.35,f4:8e:38:d9:74:b3,HOST,k2093,466835, ,ADMINISTRASIE BLOK A,narga-a38.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.36,f4:8e:38:d9:73:40,HOST,k2093,466836, ,ADMINISTRASIE BLOK A,narga-a39.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.37,f4:8e:38:d9:c7:9d,HOST,k2093,466837, ,ADMINISTRASIE BLOK A,narga-a40.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.38,f4:8e:38:d9:c8:b0,HOST,k2093,466838, ,ADMINISTRASIE BLOK A,narga-a41.rga.stb.sun.ac.za,2019-02-21 15:15:01, 
13806025,146.232.48.39,f4:8e:38:d9:8b:14,HOST,k2093,466839, ,ADMINISTRASIE BLOK A,narga-a42.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.41,f4:8e:38:d9:c9:52,HOST,k2093,466840, ,ADMINISTRASIE BLOK A,narga-a43.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.42,f4:8e:38:d9:c8:22,HOST,k2093,466841, ,ADMINISTRASIE BLOK A,narga-a44.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.43,f4:8e:38:d9:75:59,HOST,k2093,466842, ,ADMINISTRASIE BLOK A,narga-a45.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.44,f4:8e:38:d9:8b:13,HOST,k2093,466843, ,ADMINISTRASIE BLOK A,narga-a46.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.45,f4:8e:38:d9:73:32,HOST,k2093,466816, ,ADMINISTRASIE BLOK A,narga-a19.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.46,f4:8e:38:d9:76:25,HOST,k2093,466817, ,ADMINISTRASIE BLOK A,narga-a20.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.47,f4:8e:38:d9:c8:67,HOST,k2093,466818, ,ADMINISTRASIE BLOK A,narga-a21.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.48,f4:8e:38:d9:74:66,HOST,k2093,466819, ,ADMINISTRASIE BLOK A,narga-a22.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.49,f4:8e:38:d9:73:55,HOST,k2093,466820, ,ADMINISTRASIE BLOK A,narga-a23.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.50,f4:8e:38:d9:c8:c0,HOST,k2093,466821, ,ADMINISTRASIE BLOK A,narga-a24.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.51,f4:8e:38:d9:74:ea,HOST,k2093,466844, ,ADMINISTRASIE BLOK A,narga-a47.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.52,f4:8e:38:d9:76:4c,HOST,k2093,466845, ,ADMINISTRASIE BLOK A,narga-a48.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.53,f4:8e:38:d9:73:07,HOST,k2093,466846, ,ADMINISTRASIE BLOK A,narga-a49.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.54,f4:8e:38:d9:c8:8e,HOST,k2093,466847, ,ADMINISTRASIE BLOK A,narga-a50.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.55,f4:8e:38:d9:c8:b5,HOST,k2093,466848, ,ADMINISTRASIE BLOK A,narga-a51.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
